"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 19 12:47:10 MSK 2025","Sun Oct 19 12:47:29 MSK 2025","19530","","org.example.makeOrder.MakeOrderPageTest","","org.example.makeOrder.MakeOrderPageTest","testSetDate","testSetDate()","Test set date"
"passed","Sun Oct 19 12:46:48 MSK 2025","Sun Oct 19 12:46:54 MSK 2025","6407","","org.example.navigationMenu.NavigationMenuTest","","org.example.navigationMenu.NavigationMenuTest","testNavigateThroughAllSection","testNavigateThroughAllSection()",""
"passed","Sun Oct 19 12:48:38 MSK 2025","Sun Oct 19 12:48:44 MSK 2025","6264","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testSortByPriceDesc","testSortByPriceDesc()",""
"passed","Sun Oct 19 12:45:33 MSK 2025","Sun Oct 19 12:46:01 MSK 2025","27374","","org.example.cart.CartPageTest","","org.example.cart.CartPageTest","testChangeProductQuantity","testChangeProductQuantity()",""
"passed","Sun Oct 19 12:46:01 MSK 2025","Sun Oct 19 12:46:19 MSK 2025","18554","","org.example.cart.CartPageTest","","org.example.cart.CartPageTest","testChangeProductSum","testChangeProductSum()",""
"passed","Sun Oct 19 12:48:31 MSK 2025","Sun Oct 19 12:48:38 MSK 2025","6492","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testSortByPriceAsc","testSortByPriceAsc()",""
"passed","Sun Oct 19 13:52:20 MSK 2025","Sun Oct 19 13:52:23 MSK 2025","3068","","org.example.mainpage.MainPageTest","","org.example.mainpage.MainPageTest","testSliderOnMainPageLeft","testSliderOnMainPageLeft()",""
"passed","Sun Oct 19 12:48:44 MSK 2025","Sun Oct 19 12:48:51 MSK 2025","7336","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testFilterByPrice","testFilterByPrice()",""
"failed","Sun Oct 19 12:46:54 MSK 2025","Sun Oct 19 12:47:04 MSK 2025","9519","","org.example.delivery.DeliveryAndPaymentTest","","org.example.delivery.DeliveryAndPaymentTest","testMinimalPaymentSum","testMinimalPaymentSum()",""
"passed","Sun Oct 19 13:52:34 MSK 2025","Sun Oct 19 13:52:38 MSK 2025","4440","","org.example.mainpage.MainPageTest","","org.example.mainpage.MainPageTest","testLinks","testLinks()",""
"passed","Sun Oct 19 12:48:08 MSK 2025","Sun Oct 19 12:48:13 MSK 2025","4257","","org.example.bonusProgram.BonusProgramPageTest","","org.example.bonusProgram.BonusProgramPageTest","testBonusCard","testBonusCard()",""
"passed","Sun Oct 19 12:47:29 MSK 2025","Sun Oct 19 12:47:39 MSK 2025","9429","","org.example.makeOrder.MakeOrderPageTest","","org.example.makeOrder.MakeOrderPageTest","testFillOrderForm","testFillOrderForm()",""
"passed","Sun Oct 19 12:48:51 MSK 2025","Sun Oct 19 12:48:57 MSK 2025","5728","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testAddPizzaToCart","testAddPizzaToCart()",""
"passed","Sun Oct 19 13:52:27 MSK 2025","Sun Oct 19 13:52:31 MSK 2025","4128","","org.example.mainpage.MainPageTest","","org.example.mainpage.MainPageTest","testIsDessertPageOpened","testIsDessertPageOpened()",""
"passed","Sun Oct 19 12:46:19 MSK 2025","Sun Oct 19 12:46:39 MSK 2025","19977","","org.example.cart.CartPageTest","","org.example.cart.CartPageTest","goToPaying","goToPaying()",""
"passed","Sun Oct 19 13:52:14 MSK 2025","Sun Oct 19 13:52:20 MSK 2025","5800","","org.example.mainpage.MainPageTest","","org.example.mainpage.MainPageTest","testSliderOnMainPageRight","testSliderOnMainPageRight()",""
"passed","Sun Oct 19 12:48:18 MSK 2025","Sun Oct 19 12:48:25 MSK 2025","6421","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testSortByPopularity","testSortByPopularity()",""
"passed","Sun Oct 19 12:48:13 MSK 2025","Sun Oct 19 12:48:18 MSK 2025","5656","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testSortByDefault","testSortByDefault()",""
"passed","Sun Oct 19 12:46:39 MSK 2025","Sun Oct 19 12:46:48 MSK 2025","8373","","org.example.cart.CartPageTest","","org.example.cart.CartPageTest","applyPromocode","applyPromocode()",""
"passed","Sun Oct 19 12:48:25 MSK 2025","Sun Oct 19 12:48:31 MSK 2025","6546","","org.example.pizza.PizzaPageTest","","org.example.pizza.PizzaPageTest","testSortByNewest","testSortByNewest()",""
"passed","Sun Oct 19 12:47:04 MSK 2025","Sun Oct 19 12:47:10 MSK 2025","6085","","org.example.myAccount.MyAccountPageTest","","org.example.myAccount.MyAccountPageTest","testAddFile","testAddFile()",""
"passed","Sun Oct 19 13:52:31 MSK 2025","Sun Oct 19 13:52:34 MSK 2025","3017","","org.example.mainpage.MainPageTest","","org.example.mainpage.MainPageTest","testIsScrollArrowVisible","testIsScrollArrowVisible()",""
"passed","Sun Oct 19 13:52:23 MSK 2025","Sun Oct 19 13:52:27 MSK 2025","3597","","org.example.mainpage.MainPageTest","","org.example.mainpage.MainPageTest","testIsAddToCartButton","testIsAddToCartButton()",""
